_date,total_views,unique_views
2021-10-05,7,2
2021-10-11,2,1
2021-10-15,36,1
2021-10-16,2,1
2021-10-17,76,1
2021-10-18,17,1
2021-10-19,22,2
2021-10-22,16,3
2021-10-21,27,1
2021-10-26,9,1
2021-10-27,24,6
2021-10-28,1,1
2021-11-01,5,4
2021-11-02,5,4
2021-11-03,12,2
2021-11-04,1,1
2021-11-05,1,1
2021-11-06,8,1
2021-11-08,22,3
2021-11-09,5,4
2021-11-13,1,1
2021-11-14,5,2
2021-11-16,10,6
2021-11-17,1,1
2021-11-18,2,1
2021-11-19,6,1
2021-11-22,14,1
2021-11-23,22,2
2021-11-24,7,5
2021-11-29,4,1
2021-11-30,13,4
2021-12-01,22,4
2021-12-06,2,1
2021-12-07,7,1
2021-12-08,1,1
2021-12-14,38,5
2021-12-15,3,1
2021-12-18,1,1
2021-12-20,1,1
2021-12-22,7,1
2022-01-03,4,1
2022-01-04,44,3
2022-01-05,24,4
2022-01-06,2,2
2022-01-07,1,1
2022-01-09,2,1
2022-01-10,5,2
2022-01-11,3,1
2022-01-12,8,1
2022-01-18,1,1
2022-01-20,1,1
2022-02-01,2,1
2022-02-04,1,1
2022-02-09,1,1
2022-02-10,4,1
2022-02-11,1,1
2022-02-14,2,1
2022-02-15,2,1
2022-02-16,4,1
2022-02-22,1,1
2022-02-23,1,1
2022-02-25,1,1
2022-02-28,7,2
2022-03-01,39,2
2022-03-02,49,4
2022-03-03,59,2
2022-03-04,16,8
2022-03-05,3,1
2022-03-07,3,1
2022-03-08,2,1
2022-03-09,10,4
2022-03-14,1,1
2022-03-15,1,1
2022-03-17,2,1
2022-03-18,8,1
2022-03-22,5,3
2022-03-23,3,3
2022-03-24,1,1
2022-03-25,8,1
2022-03-28,5,3
2022-03-29,13,1
2022-04-01,3,1
2022-04-03,3,1
2022-04-04,5,2
2022-04-05,20,8
2022-04-06,7,2
2022-04-08,8,5
2022-04-11,3,1
2022-04-12,7,1
2022-04-13,6,3
2022-04-14,3,1
2022-04-15,2,2
